episode: 0, total reward: 14.0
episode: 1, total reward: 18.0
episode: 2, total reward: 34.0
episode: 3, total reward: 10.0
episode: 4, total reward: 19.0
episode: 5, total reward: 18.0
episode: 6, total reward: 18.0
episode: 7, total reward: 8.0
episode: 8, total reward: 40.0
episode: 9, total reward: 28.0
episode: 10, total reward: 42.0
episode: 11, total reward: 54.0
episode: 12, total reward: 47.0
episode: 13, total reward: 27.0
episode: 14, total reward: 22.0
episode: 15, total reward: 19.0
episode: 16, total reward: 28.0
episode: 17, total reward: 32.0
episode: 18, total reward: 24.0
episode: 19, total reward: 29.0
episode: 20, total reward: 46.0
episode: 21, total reward: 64.0
episode: 22, total reward: 52.0
episode: 23, total reward: 107.0
episode: 24, total reward: 59.0
episode: 25, total reward: 63.0
episode: 26, total reward: 39.0
episode: 27, total reward: 41.0
episode: 28, total reward: 69.0
episode: 29, total reward: 89.0
episode: 30, total reward: 23.0
episode: 31, total reward: 27.0
episode: 32, total reward: 93.0
episode: 33, total reward: 105.0
episode: 34, total reward: 122.0
episode: 35, total reward: 77.0
episode: 36, total reward: 126.0
episode: 37, total reward: 67.0
episode: 38, total reward: 23.0
episode: 39, total reward: 135.0
episode: 40, total reward: 108.0
episode: 41, total reward: 112.0
episode: 42, total reward: 105.0
episode: 43, total reward: 147.0
episode: 44, total reward: 200.0
episode: 45, total reward: 115.0
episode: 46, total reward: 105.0
episode: 47, total reward: 113.0
episode: 48, total reward: 66.0
episode: 49, total reward: 112.0
episode: 50, total reward: 117.0
episode: 51, total reward: 162.0
episode: 52, total reward: 151.0
episode: 53, total reward: 200.0
episode: 54, total reward: 200.0
episode: 55, total reward: 152.0
episode: 56, total reward: 169.0
episode: 57, total reward: 166.0
episode: 58, total reward: 169.0
episode: 59, total reward: 200.0
episode: 60, total reward: 200.0
episode: 61, total reward: 200.0
episode: 62, total reward: 200.0
episode: 63, total reward: 200.0
episode: 64, total reward: 200.0
episode: 65, total reward: 200.0
episode: 66, total reward: 200.0
episode: 67, total reward: 200.0
episode: 68, total reward: 200.0
episode: 69, total reward: 200.0
episode: 70, total reward: 200.0
episode: 71, total reward: 200.0
episode: 72, total reward: 200.0
episode: 73, total reward: 200.0
episode: 74, total reward: 200.0
episode: 75, total reward: 200.0
episode: 76, total reward: 200.0
episode: 77, total reward: 200.0
episode: 78, total reward: 200.0
episode: 79, total reward: 200.0
episode: 80, total reward: 200.0
episode: 81, total reward: 200.0
episode: 82, total reward: 200.0
episode: 83, total reward: 200.0
episode: 84, total reward: 179.0
episode: 85, total reward: 182.0
episode: 86, total reward: 191.0
episode: 87, total reward: 111.0
episode: 88, total reward: 200.0
episode: 89, total reward: 200.0
episode: 90, total reward: 200.0
episode: 91, total reward: 200.0
episode: 92, total reward: 200.0
episode: 93, total reward: 200.0
episode: 94, total reward: 200.0
episode: 95, total reward: 199.0
episode: 96, total reward: 200.0
episode: 97, total reward: 200.0
episode: 98, total reward: 200.0
episode: 99, total reward: 195.0
