episode: 0, total reward: 32.0
episode: 1, total reward: 38.0
episode: 2, total reward: 23.0
episode: 3, total reward: 25.0
episode: 4, total reward: 13.0
episode: 5, total reward: 24.0
episode: 6, total reward: 28.0
episode: 7, total reward: 18.0
episode: 8, total reward: 35.0
episode: 9, total reward: 21.0
episode: 10, total reward: 31.0
episode: 11, total reward: 23.0
episode: 12, total reward: 35.0
episode: 13, total reward: 57.0
episode: 14, total reward: 20.0
episode: 15, total reward: 32.0
episode: 16, total reward: 15.0
episode: 17, total reward: 61.0
episode: 18, total reward: 19.0
episode: 19, total reward: 42.0
episode: 20, total reward: 29.0
episode: 21, total reward: 47.0
episode: 22, total reward: 17.0
episode: 23, total reward: 27.0
episode: 24, total reward: 12.0
episode: 25, total reward: 17.0
episode: 26, total reward: 28.0
episode: 27, total reward: 25.0
episode: 28, total reward: 35.0
episode: 29, total reward: 22.0
episode: 30, total reward: 63.0
episode: 31, total reward: 30.0
episode: 32, total reward: 15.0
episode: 33, total reward: 27.0
episode: 34, total reward: 60.0
episode: 35, total reward: 24.0
episode: 36, total reward: 42.0
episode: 37, total reward: 91.0
episode: 38, total reward: 63.0
episode: 39, total reward: 25.0
episode: 40, total reward: 69.0
episode: 41, total reward: 62.0
episode: 42, total reward: 43.0
episode: 43, total reward: 26.0
episode: 44, total reward: 15.0
episode: 45, total reward: 45.0
episode: 46, total reward: 43.0
episode: 47, total reward: 46.0
episode: 48, total reward: 47.0
episode: 49, total reward: 40.0
